INFO:__main__:Initialize the dataset...
INFO:__main__:Finish the dataset initialization.
INFO:__main__:Define the Network Structure and Losses
INFO:__main__:Finish Define the Network Structure and Losses
INFO:__main__:Start Training...
INFO:__main__:Epoch 0, [50/7180]: Batch Time:2.1006,	 Data Time:0.0001, Whole Gen Loss:1.5179	,Recon Loss:1.5129,	 GAN Loss:0.0050,	 D Loss:0.0013
INFO:__main__:Epoch 0, [100/7180]: Batch Time:2.0068,	 Data Time:0.0001, Whole Gen Loss:1.3652	,Recon Loss:1.3602,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [150/7180]: Batch Time:2.0211,	 Data Time:0.0001, Whole Gen Loss:1.3573	,Recon Loss:1.3523,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [200/7180]: Batch Time:2.1190,	 Data Time:0.0001, Whole Gen Loss:1.1446	,Recon Loss:1.1396,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [250/7180]: Batch Time:2.1082,	 Data Time:0.0001, Whole Gen Loss:1.1066	,Recon Loss:1.1016,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [300/7180]: Batch Time:2.0383,	 Data Time:0.0001, Whole Gen Loss:1.0778	,Recon Loss:1.0728,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [350/7180]: Batch Time:1.9307,	 Data Time:0.0001, Whole Gen Loss:1.2314	,Recon Loss:1.2264,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [400/7180]: Batch Time:1.9505,	 Data Time:0.0001, Whole Gen Loss:1.1487	,Recon Loss:1.1437,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [450/7180]: Batch Time:2.0647,	 Data Time:0.0001, Whole Gen Loss:1.0044	,Recon Loss:0.9994,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [500/7180]: Batch Time:2.0151,	 Data Time:0.0001, Whole Gen Loss:1.0248	,Recon Loss:1.0198,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [550/7180]: Batch Time:2.1333,	 Data Time:0.0001, Whole Gen Loss:0.8761	,Recon Loss:0.8711,	 GAN Loss:0.0050,	 D Loss:0.0000
